municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;sensor;valorMedida
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel6;41,93
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel5;49,91
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel4;41,75
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel3;40,83
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel2;47,21
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;umidade_solo_nivel1;52,27
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:30:00.0;chuva;4,20
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel6;41,92
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel5;49,90
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel4;41,75
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel3;40,82
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel2;47,18
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;umidade_solo_nivel1;52,26
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:40:00.0;chuva;16,80
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel6;41,91
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel5;49,89
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel4;41,74
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel3;40,81
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel2;47,16
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 12:50:00.0;umidade_solo_nivel1;52,24
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 13:00:00.0;umidade_solo_nivel6;41,90
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 13:00:00.0;umidade_solo_nivel5;49,87
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 13:00:00.0;umidade_solo_nivel4;41,74
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 13:00:00.0;umidade_solo_nivel3;40,79
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-22,524907;-43,223916;2021-11-11 13:00:00.0;umidade_solo_nivel2;47,14
